Sexo	Idioma que conoce mejor	Dominio del idioma	Total
AMBOS SEXOS	Total	Total	100,00
AMBOS SEXOS	Total	Nivel básico	21,93
AMBOS SEXOS	Total	Nivel medio	46,58
AMBOS SEXOS	Total	Nivel avanzado	31,50
AMBOS SEXOS	Español	Total	100,00
AMBOS SEXOS	Español	Nivel básico	9,42
AMBOS SEXOS	Español	Nivel medio	30,54
AMBOS SEXOS	Español	Nivel avanzado	60,04
AMBOS SEXOS	Catalán	Total	100,00
AMBOS SEXOS	Catalán	Nivel básico	15,58
AMBOS SEXOS	Catalán	Nivel medio	37,82
AMBOS SEXOS	Catalán	Nivel avanzado	46,60
AMBOS SEXOS	Euskera	Total	100,00
AMBOS SEXOS	Euskera	Nivel básico	14,74
AMBOS SEXOS	Euskera	Nivel medio	58,19
AMBOS SEXOS	Euskera	Nivel avanzado	27,06
AMBOS SEXOS	Valenciano	Total	100,00
AMBOS SEXOS	Valenciano	Nivel básico	16,82
AMBOS SEXOS	Valenciano	Nivel medio	44,16
AMBOS SEXOS	Valenciano	Nivel avanzado	39,02
AMBOS SEXOS	Gallego	Total	100,00
AMBOS SEXOS	Gallego	Nivel básico	.
AMBOS SEXOS	Gallego	Nivel medio	40,88
AMBOS SEXOS	Gallego	Nivel avanzado	50,59
AMBOS SEXOS	Inglés	Total	100,00
AMBOS SEXOS	Inglés	Nivel básico	28,27
AMBOS SEXOS	Inglés	Nivel medio	54,51
AMBOS SEXOS	Inglés	Nivel avanzado	17,23
AMBOS SEXOS	Francés	Total	100,00
AMBOS SEXOS	Francés	Nivel básico	29,37
AMBOS SEXOS	Francés	Nivel medio	51,94
AMBOS SEXOS	Francés	Nivel avanzado	18,69
AMBOS SEXOS	Alemán	Total	100,00
AMBOS SEXOS	Alemán	Nivel básico	20,59
AMBOS SEXOS	Alemán	Nivel medio	50,91
AMBOS SEXOS	Alemán	Nivel avanzado	28,51
AMBOS SEXOS	Italiano	Total	100,00
AMBOS SEXOS	Italiano	Nivel básico	15,43
AMBOS SEXOS	Italiano	Nivel medio	47,84
AMBOS SEXOS	Italiano	Nivel avanzado	36,73
AMBOS SEXOS	Portugués	Total	100,00
AMBOS SEXOS	Portugués	Nivel básico	.
AMBOS SEXOS	Portugués	Nivel medio	47,52
AMBOS SEXOS	Portugués	Nivel avanzado	38,82
AMBOS SEXOS	Otros	Total	100,00
AMBOS SEXOS	Otros	Nivel básico	.
AMBOS SEXOS	Otros	Nivel medio	29,15
AMBOS SEXOS	Otros	Nivel avanzado	58,88
VARONES	Total	Total	100,00
VARONES	Total	Nivel básico	21,11
VARONES	Total	Nivel medio	47,27
VARONES	Total	Nivel avanzado	31,62
VARONES	Español	Total	100,00
VARONES	Español	Nivel básico	11,08
VARONES	Español	Nivel medio	31,68
VARONES	Español	Nivel avanzado	57,25
VARONES	Catalán	Total	100,00
VARONES	Catalán	Nivel básico	14,34
VARONES	Catalán	Nivel medio	38,45
VARONES	Catalán	Nivel avanzado	47,21
VARONES	Euskera	Total	100,00
VARONES	Euskera	Nivel básico	.
VARONES	Euskera	Nivel medio	63,34
VARONES	Euskera	Nivel avanzado	.
VARONES	Valenciano	Total	100,00
VARONES	Valenciano	Nivel básico	.
VARONES	Valenciano	Nivel medio	48,23
VARONES	Valenciano	Nivel avanzado	38,69
VARONES	Gallego	Total	100,00
VARONES	Gallego	Nivel básico	.
VARONES	Gallego	Nivel medio	48,32
VARONES	Gallego	Nivel avanzado	45,03
VARONES	Inglés	Total	100,00
VARONES	Inglés	Nivel básico	25,89
VARONES	Inglés	Nivel medio	56,25
VARONES	Inglés	Nivel avanzado	17,86
VARONES	Francés	Total	100,00
VARONES	Francés	Nivel básico	29,41
VARONES	Francés	Nivel medio	49,29
VARONES	Francés	Nivel avanzado	21,30
VARONES	Alemán	Total	100,00
VARONES	Alemán	Nivel básico	.
VARONES	Alemán	Nivel medio	45,61
VARONES	Alemán	Nivel avanzado	.
VARONES	Italiano	Total	100,00
VARONES	Italiano	Nivel básico	.
VARONES	Italiano	Nivel medio	51,40
VARONES	Italiano	Nivel avanzado	31,65
VARONES	Portugués	Total	100,00
VARONES	Portugués	Nivel básico	.
VARONES	Portugués	Nivel medio	51,01
VARONES	Portugués	Nivel avanzado	.
VARONES	Otros	Total	100,00
VARONES	Otros	Nivel básico	.
VARONES	Otros	Nivel medio	.
VARONES	Otros	Nivel avanzado	.
MUJERES	Total	Total	100,00
MUJERES	Total	Nivel básico	22,77
MUJERES	Total	Nivel medio	45,86
MUJERES	Total	Nivel avanzado	31,37
MUJERES	Español	Total	100,00
MUJERES	Español	Nivel básico	7,52
MUJERES	Español	Nivel medio	29,25
MUJERES	Español	Nivel avanzado	63,23
MUJERES	Catalán	Total	100,00
MUJERES	Catalán	Nivel básico	16,83
MUJERES	Catalán	Nivel medio	37,19
MUJERES	Catalán	Nivel avanzado	45,98
MUJERES	Euskera	Total	100,00
MUJERES	Euskera	Nivel básico	.
MUJERES	Euskera	Nivel medio	53,93
MUJERES	Euskera	Nivel avanzado	33,18
MUJERES	Valenciano	Total	100,00
MUJERES	Valenciano	Nivel básico	.
MUJERES	Valenciano	Nivel medio	40,50
MUJERES	Valenciano	Nivel avanzado	39,31
MUJERES	Gallego	Total	100,00
MUJERES	Gallego	Nivel básico	.
MUJERES	Gallego	Nivel medio	35,23
MUJERES	Gallego	Nivel avanzado	54,81
MUJERES	Inglés	Total	100,00
MUJERES	Inglés	Nivel básico	30,71
MUJERES	Inglés	Nivel medio	52,72
MUJERES	Inglés	Nivel avanzado	16,57
MUJERES	Francés	Total	100,00
MUJERES	Francés	Nivel básico	29,33
MUJERES	Francés	Nivel medio	54,54
MUJERES	Francés	Nivel avanzado	16,13
MUJERES	Alemán	Total	100,00
MUJERES	Alemán	Nivel básico	.
MUJERES	Alemán	Nivel medio	58,49
MUJERES	Alemán	Nivel avanzado	.
MUJERES	Italiano	Total	100,00
MUJERES	Italiano	Nivel básico	.
MUJERES	Italiano	Nivel medio	43,24
MUJERES	Italiano	Nivel avanzado	43,29
MUJERES	Portugués	Total	100,00
MUJERES	Portugués	Nivel básico	.
MUJERES	Portugués	Nivel medio	.
MUJERES	Portugués	Nivel avanzado	.
MUJERES	Otros	Total	100,00
MUJERES	Otros	Nivel básico	.
MUJERES	Otros	Nivel medio	.
MUJERES	Otros	Nivel avanzado	57,98
