"Ano","Representacións (número)","Espectadores (miles)","Recadación (miles)","Espectadores por representación ","Gasto medio por espectador (euros)"
"2008",2597,563,2539,217,4.5
"2009",2944,549,3200,186,5.8
"2010",2611,491,2607,188,5.3
"2011",1857,430,2445,231,5.7
"2012",1506,397,2368,263,6.0
"2013",1495,355,2364,237,6.7
"2014",1522,366,3464,240,9.5
"2015",1527,398,4133,260,10.4
"2016",1554,405,4206,260,10.4
"2017",1572,412,4280,262,10.4
"2018",1596,427,4299,268,10.1
"2019",1627,445,4353,274,9.8
"2020",782,106,1252,136,11.8
"2021",1198,126,1520,105,12.1
